iter	Passed	Remaining
666	15426	7701
667	15448	7678
668	15470	7654
669	15493	7631
670	15519	7609
671	15544	7587
672	15571	7565
673	15596	7543
674	15621	7521
675	15646	7499
676	15671	7476
677	15696	7454
678	15721	7432
679	15744	7409
680	15766	7385
681	15788	7361
682	15811	7338
683	15834	7315
684	15856	7291
685	15879	7268
686	15901	7244
687	15925	7222
688	15948	7198
689	15971	7175
690	15995	7152
691	16017	7129
692	16039	7105
693	16062	7082
694	16084	7058
695	16107	7035
696	16131	7012
697	16154	6989
698	16177	6966
699	16203	6944
700	16230	6922
701	16260	6902
702	16289	6881
703	16321	6862
704	16354	6843
705	16384	6822
706	16416	6803
707	16442	6781
708	16470	6760
709	16498	6738
710	16525	6717
711	16551	6694
712	16576	6672
713	16601	6649
714	16625	6626
715	16651	6604
716	16676	6582
717	16702	6559
718	16726	6537
719	16752	6514
720	16777	6492
721	16805	6470
722	16833	6449
723	16861	6427
724	16886	6405
725	16912	6382
726	16938	6360
727	16962	6337
728	16987	6314
729	17014	6293
730	17041	6271
731	17068	6248
732	17092	6226
733	17118	6203
734	17144	6181
735	17169	6158
736	17197	6137
737	17226	6115
738	17256	6094
739	17284	6073
740	17311	6050
741	17337	6028
742	17364	6006
743	17391	5984
744	17417	5961
745	17442	5938
746	17469	5916
747	17494	5894
748	17520	5871
749	17544	5848
750	17571	5825
751	17593	5802
752	17617	5778
753	17640	5755
754	17664	5732
755	17711	5716
756	17742	5695
757	17764	5671
758	17788	5648
759	17811	5624
760	17833	5600
761	17854	5576
762	17876	5552
763	17898	5528
764	17920	5505
765	17942	5481
766	17963	5456
767	17986	5433
768	18007	5409
769	18030	5385
770	18052	5361
771	18073	5337
772	18095	5313
773	18117	5290
774	18138	5265
775	18159	5241
776	18182	5218
777	18204	5194
778	18226	5170
779	18249	5147
780	18272	5123
781	18296	5100
782	18320	5077
783	18342	5053
784	18366	5030
785	18388	5006
786	18409	4982
787	18431	4958
788	18453	4934
789	18474	4910
790	18497	4887
791	18519	4863
792	18541	4839
793	18564	4816
794	18586	4792
795	18608	4768
796	18629	4745
797	18650	4721
798	18672	4697
799	18694	4673
800	18714	4649
801	18736	4625
802	18758	4601
803	18780	4578
804	18801	4554
805	18823	4530
806	18845	4506
807	18867	4483
808	18889	4459
809	18912	4436
810	18933	4412
811	18955	4388
812	18977	4364
813	18999	4341
814	19022	4318
815	19046	4294
816	19069	4271
817	19092	4247
818	19114	4224
819	19137	4200
820	19159	4177
821	19182	4153
822	19204	4130
823	19227	4106
824	19250	4083
825	19272	4059
826	19295	4036
827	19317	4012
828	19340	3989
829	19363	3965
