iter	Passed	Remaining
655	1142	598
656	1143	597
657	1145	595
658	1147	593
659	1149	592
660	1151	590
661	1152	588
662	1154	586
663	1155	584
664	1157	583
665	1159	581
666	1160	579
667	1161	577
668	1163	575
669	1165	574
670	1167	572
671	1168	570
672	1170	568
673	1171	566
674	1173	564
675	1174	562
676	1176	561
677	1177	559
678	1179	557
679	1181	556
680	1183	554
681	1185	552
682	1186	550
683	1188	549
684	1190	547
685	1191	545
686	1193	543
687	1195	541
688	1197	540
689	1198	538
690	1200	536
691	1202	534
692	1203	533
693	1205	531
694	1206	529
695	1208	527
696	1209	525
697	1212	524
698	1213	522
699	1215	520
700	1216	518
701	1218	517
702	1220	515
703	1221	513
704	1223	511
705	1224	509
706	1226	508
707	1228	506
708	1230	505
709	1232	503
710	1233	501
711	1235	499
712	1236	497
713	1238	496
714	1240	494
715	1242	492
716	1244	491
717	1246	489
718	1247	487
719	1249	485
720	1250	484
721	1252	482
722	1254	480
723	1255	478
724	1256	476
725	1258	475
726	1260	473
727	1262	471
728	1263	469
729	1265	467
730	1266	466
731	1268	464
732	1269	462
733	1271	460
734	1273	459
735	1275	457
736	1277	455
737	1278	453
738	1280	452
739	1282	450
740	1284	449
741	1286	447
742	1287	445
743	1289	443
744	1291	441
745	1292	440
746	1294	438
747	1295	436
748	1297	434
749	1298	432
750	1300	431
751	1301	429
752	1303	427
753	1304	425
754	1306	424
755	1308	422
756	1309	420
757	1310	418
758	1312	416
759	1313	414
760	1315	413
761	1316	411
762	1318	409
763	1320	407
764	1321	406
765	1323	404
766	1325	402
767	1326	400
768	1328	398
769	1329	397
770	1331	395
771	1332	393
772	1333	391
773	1335	389
774	1337	388
775	1338	386
776	1340	384
777	1341	382
778	1343	381
779	1344	379
780	1346	377
781	1347	375
782	1348	373
783	1350	371
784	1351	370
785	1353	368
786	1355	366
787	1356	364
788	1357	363
789	1358	361
790	1360	359
791	1361	357
792	1362	355
793	1364	353
794	1365	352
795	1367	350
796	1368	348
797	1370	346
798	1371	344
799	1372	343
800	1374	341
801	1375	339
802	1377	337
803	1378	336
804	1379	334
805	1381	332
806	1383	330
807	1384	329
808	1386	327
809	1387	325
810	1389	323
811	1390	322
812	1392	320
813	1393	318
814	1395	316
815	1396	314
816	1398	313
817	1400	311
818	1401	309
819	1403	308
820	1404	306
821	1406	304
822	1408	302
823	1409	301
824	1410	299
825	1412	297
826	1413	295
827	1415	294
828	1417	292
829	1418	290
830	1420	288
831	1422	287
832	1423	285
833	1425	283
834	1426	281
835	1428	280
836	1429	278
837	1431	276
838	1433	274
839	1434	273
840	1435	271
841	1437	269
842	1438	267
843	1439	266
844	1441	264
845	1442	262
846	1444	260
847	1445	259
848	1447	257
849	1449	255
850	1451	254
851	1452	252
852	1454	250
853	1455	248
854	1456	247
855	1458	245
856	1459	243
857	1460	241
858	1462	240
859	1464	238
860	1465	236
861	1467	234
862	1468	233
863	1470	231
864	1471	229
865	1472	227
866	1474	226
867	1475	224
868	1477	222
869	1478	220
870	1480	219
871	1482	217
872	1483	215
873	1485	214
874	1486	212
875	1488	210
876	1489	208
877	1491	207
878	1492	205
879	1494	203
880	1495	202
881	1497	200
882	1499	198
883	1500	196
884	1502	195
885	1504	193
886	1505	191
887	1506	190
888	1508	188
889	1510	186
890	1511	184
891	1513	183
892	1514	181
893	1516	179
894	1517	178
895	1519	176
896	1521	174
897	1522	172
898	1524	171
899	1526	169
900	1528	167
901	1530	166
902	1531	164
903	1533	162
904	1535	161
905	1537	159
906	1538	157
907	1540	156
908	1542	154
